LMaxI;LMaxT;LAvgI;LAvgT;BMaxI;BMaxT;BAvgI;BAvgT
26843,00;0,00024374;13422,00;0,00000025;29,00;0,00022091;26,56;0,00000026
53686,00;0,00027518;26843,50;0,00000031;31,00;0,00000086;28,56;0,00000023
80529,00;0,00053816;40265,00;0,00000029;33,00;0,00000200;29,75;0,00000026
107372,00;0,00057681;53686,50;0,00000029;33,00;0,00000163;30,56;0,00000024
134215,00;0,00085537;67108,00;0,00000031;35,00;0,00000073;31,09;0,00000025
161058,00;0,00439725;80529,50;0,00000022;35,00;0,00000054;31,75;0,00000022
187901,00;0,00108913;93951,00;0,00000027;35,00;0,00000069;32,21;0,00000026
214744,00;0,00118774;107372,50;0,00000026;35,00;0,00000299;32,56;0,00000030
241587,00;0,00135573;120794,00;0,00000026;35,00;0,00000059;32,83;0,00000030
268430,00;0,00137549;134215,50;0,00000028;37,00;0,00000067;33,09;0,00000026
